Position,Artist,Album,Year
1,Type O Negative,October Rust,1996
2,Godflesh,Songs Of Love And Hate,1996
3,Neurosis,Through Silver In Blood,1996
4,Swans,Soundtracks For The Blind,1996
5,Tool,Aenima,1996
6,Samael,Passage,1996
7,Earth Crisis,Gomorrah's Season Ends,1996
8,Whitehouse,Quality Time,1996
9,Sepultura,Roots,1996
10,Blood Axis,The Gospel Of Inhumanity,1996
11,16,Drop Out,1996
12,Arch Enemy,Black Earth,1996
13,Fu Manchu,In Search Of…,1996
14,Crisis,Deathshread Extermination,1996
15,The 3rd & The Mortal,Painting On Glass,1996
16,C.OC.,Wiseblood,1996
17,Vader,De Profundis,1996
18,Cradle Of Filth,Dusk And Her Embrace,1996
19,Laibach,Jesus Christ Superstars,1996
20,Korn,Life Is Peachy,1996
21,Katatonia,Brave Murder Day,1996
22,Gehenna,Malice,1996
23,Turmoil,From Bleeding Hands,1996
24,Crowbar,Broken Glass,1996
25,Various Artists,Nordic Metal,1996
26,Bloodlet,Entheogen,1996
27,Downset,Do We Speak A Dead Language?,1996
28,Stuck Mojo,Pigwalk,1996
29,My Dying Bride,Like Gods Of The Sun,1996
30,Burzum,Filosofem,1996
1,Emperor,Anthems To The Welkin At Dusk,1997
2,Venom,Cast In Stone,1997
3,Arcturus,La Masquerade Infernale,1997
4,Entombed,"To Ride, Shoot Straight And Speak The Truth",1997
5,In The Woods,Omnio,1997
6,Judas Priest,Jugulator,1997
7,Today Is The Day,Temple Of The Morning Star,1997
8,Deicide,Serpents Of The Light,1997
9,Sigh,Hail Horror Hail,1997
10,Brutal Truth,Sounds Of The Animal Kingdom,1997
11,Non,God And Beast,1997
12,Vision Of Disorder,Vision Of Disorder,1997
13,Iron Monkey,Iron Monkey,1997
14,Hammerfall,Glory To The Brave,1997
15,Godflesh,Love And Hate In Dub,1997
16,Voivod,Phobos,1997
17,Kiss It Goodbye,"She Loves Me, She Loves Me Not ",1997
18,Mayhem,Wolf's Lair Abyss,1997
19,Karma To Burn,Karma To Burn,1997
20,Hypocrisy,The Final Chapter,1997
21,Fear Factory,Remanufacture (Cloning Technology),1997
22,Deceased,Fearless Undead Machines,1997
23,Crisis,The Hollowing,1997
24,Samiam,You Are Freaking Me Out,1997
25,Melvins,Honky,1997
26,Sick Of It All,Built To Last,1997
27,Dark Tranquility,The Mind's I,1997
28,The Blood Divine,Mystica,1997
29,Babylon Whores,Cold Heaven,1997
30,Solefald,The Linear Scaffold,1997
1,The Haunted,The Haunted,1998
2,Anathema,Alternative 4,1998
3,Iron Monkey,Our Problem,1998
4,Monster Magnet,Powertrip,1998
5,Morbid Angel,Formulas Fatal To The Flesh,1998
6,Slayer,Diabolus In Musica,1998
7,Vision Of Disorder,Imprint,1998
8,Witchery,Restless And Dead,1998
9,Queens Of The Stone Age,Queens Of The Stone Age,1998
10,Swans,Swans Are Dead,1998
11,Fear Factory,Obsolete,1998
