"Rank","Title","Band","Country","Year","Compilation","Live","YearRank","DecadeRank","OverallRank","RankScore","AvgRating","NumRatings","AlbumID","Notes","Buy"
"0","=HYPERLINK(""https://www.besteveralbums.com/yearstats.php"", ""BestEverAlbums.com - Best Albums of 1986"")","","","","","","","","","","","","","",""
"1","The Queen Is Dead","The Smiths","uk","1986","No","No","1","1","17","41187","87.850440979","2781","259","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=259&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"2","Master Of Puppets","Metallica","us","1986","No","No","2","13","105","13838","83.404670715","1724","960","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=960&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"3","Graceland","Paul Simon","us","1986","No","No","3","16","128","12291","81.196014404","1290","196","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=196&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"4","So","Peter Gabriel","uk","1986","No","No","4","29","245","7394","80.329673767","874","202","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=202&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"5","Skylarking","XTC","uk","1986","No","No","5","49","369","5029","80.790466309","601","2295","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2295&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"6","The Colour Of Spring","Talk Talk","uk","1986","No","No","6","61","438","4224","80.295700073","529","283","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=283&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"7","Reign In Blood","Slayer","us","1986","No","No","7","67","476","3848","78.984970093","665","1368","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1368&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"8","Licensed To Ill","Beastie Boys","us","1986","No","No","8","68","487","3766","77.042114258","818","21","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=21&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"9","Lifes Rich Pageant","R.E.M.","us","1986","No","No","9","76","513","3644","79.589141846","705","1647","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1647&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"10","Black Celebration","Depeche Mode","uk","1986","No","No","10","110","731","2512","78.8695755","459","1441","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1441&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"11","EVOL","Sonic Youth","us","1986","No","No","11","112","744","2461","78.095603943","491","2140","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=2140&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"12","Slippery When Wet","Bon Jovi","us","1986","No","No","12","127","843","2162","69.442199707","478","1514","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1514&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"13","Peace Sells... But Who's Buying?","Megadeth","us","1986","No","No","13","150","985","1871","78.103683472","385","3310","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=3310&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
"14","Parade","Prince And The Revolution","us","1986","No","No","14","174","1116","1621","77.115852356","376","1724","","=HYPERLINK(""https://www.besteveralbums.com/buy.php?o=album&oid=1724&src=csv"", ""Own it! - Click to buy from iTunes, Amazon or eBay"")"
